word_input            original_output       pattern_output      

abbey                 abbei                 abbey               
abbeys                abbei                 abbey               
abed                  ab                    abe                 
abjectly              abjectli              abject              
abruptly              abruptli              abrupt              
absey                 absei                 absey               
absyrtus              absyrtu               absyrtus            
abundantly            abundantli            abund               
abus                  abu                   abus                
accordingly           accordingli           accord              
accus                 accu                  accus               
ace                   ac                    ace                 
adieus                adieu                 adieus              
admiringly            admiringli            admir               
adoptedly             adoptedli             adopt               
advisedly             advisedli             advis               
aemilius              aemiliu               aemilius            
aeolus                aeolu                 aeolus              
aesculapius           aesculapiu            aesculapius         
affectedly            affectedli            affect              
affray                affrai                affray              
age                   ag                    age                 
aged                  ag                    age                 
ages                  ag                    age                 
alarbus               alarbu                alarbus             
ale                   al                    ale                 
ales                  al                    ale                 
allay                 allai                 allay               
allayed               allai                 allay               
allaying              allai                 allay               
allays                allai                 allay               
alley                 allei                 alley               
alleys                allei                 alley               
alway                 alwai                 alway               
always                alwai                 alway               
amazedly              amazedli              amaz                
ames                  am                    ame                 
amphimacus            amphimacu             amphimacus          
ancus                 ancu                  ancus               
andpholus             andpholu              andpholus           
andronicus            andronicu             andronicus          
angerly               angerli               anger               
angus                 angu                  angus               
annoy                 annoi                 annoy               
annoying              annoi                 annoy               
anticly               anticli               antic               
antigonus             antigonu              antigonus           
antipholus            antipholu             antipholus          
antonius              antoniu               antonius            
ape                   ap                    ape                 
apemantus             apemantu              apemantus           
apes                  ap                    ape                 
apollodorus           apollodoru            apollodorus         
aptly                 aptli                 apt                 
archelaus             archelau              archelaus           
archidamus            archidamu             archidamus          
are                   ar                    are                 
argus                 argu                  argus               
array                 arrai                 array               
artemidorus           artemidoru            artemidorus         
artus                 artu                  artus               
arviragus             arviragu              arviragus           
ascanius              ascaniu               ascanius            
assay                 assai                 assay               
assaying              assai                 assay               
assays                assai                 assay               
assuredly             assuredli             assur               
astray                astrai                astray              
ate                   at                    ate                 
ates                  at                    ate                 
atlas                 atla                  atlas               
attorney              attornei              attorney            
attorneyed            attornei              attorney            
attorneys             attornei              attorney            
aubrey                aubrei                aubrey              
audrey                audrei                audrey              
aufidius              aufidiu               aufidius            
augustus              augustu               augustus            
autolycus             autolycu              autolycus           
ave                   av                    ave                 
aves                  av                    ave                 
away                  awai                  away                
awe                   aw                    awe                 
axe                   ax                    axe                 
aye                   ay                    aye                 
bacchus               bacchu                bacchus             
backwardly            backwardli            backward            
bargulus              bargulu               bargulus            
barkloughly           barkloughli           barklough           
barley                barlei                barley              
barrenly              barrenli              barren              
bas                   ba                    bas                 
bassianus             bassianu              bassianus           
bastardly             bastardli             bastard             
bay                   bai                   bay                 
baying                bai                   bay                 
bays                  bai                   bay                 
beastly               beastli               beast               
beauteous             beauteou              beauteous           
beggarly              beggarli              beggar              
belarius              belariu               belarius            
benedictus            benedictu             benedictus          
bepray                beprai                bepray              
beray                 berai                 beray               
berkeley              berkelei              berkeley            
betray                betrai                betray              
betrayed              betrai                betray              
betraying             betrai                betray              
betrays               betrai                betray              
bewray                bewrai                bewray              
bias                  bia                   bias                
birthday              birthdai              birthday            
bis                   bi                    bis                 
bitterly              bitterli              bitter              
blessedly             blessedli             bless               
blindly               blindli               blind               
bluntly               bluntli               blunt               
bocchus               bocchu                bocchus             
boldly                boldli                bold                
bounteous             bounteou              bounteous           
boy                   boi                   boy                 
boys                  boi                   boy                 
brainsickly           brainsickli           brainsick           
bras                  bra                   bras                
bray                  brai                  bray                
braying               brai                  bray                
briareus              briareu               briareus            
brightly              brightli              bright              
bristly               bristli               brist               
